month,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
2022-04,11,63.63636363636363,1.6833333333333333,7.454545454545454,82.0,60.0,32.512654878873356,4,2,28.857142857142858,-30.0,0.9619047619047619,0,
2022-05,16,62.5,2.4714285714285715,12.875,206.0,100.0,32.4794807019242,5,4,34.6,-23.333333333333332,1.482857142857143,0,
2022-06,14,78.57142857142857,3.6633663366336635,19.214285714285715,269.0,40.0,32.27568403953324,4,1,33.63636363636363,-33.666666666666664,0.9990999099909991,0,
2022-07,14,50.0,1.1125,1.9285714285714286,27.0,120.0,40.406519439155026,4,3,38.142857142857146,-34.285714285714285,1.1125,0,
2022-08,11,45.45454545454545,1.0166666666666666,0.2727272727272727,3.0,80.0,37.083934281817804,2,2,36.6,-30.0,1.22,0,
2022-09,13,76.92307692307693,3.8,12.923076923076923,168.0,20.0,19.163600646631878,4,1,22.8,-20.0,1.1400000000000001,0,
2022-10,16,62.5,1.837696335078534,10.0,160.0,91.0,36.82571565269755,5,2,35.1,-31.833333333333332,1.1026178010471206,0,
2022-11,4,75.0,7.8,34.0,136.0,20.0,43.01937547973781,3,1,52.0,-20.0,2.6,0,
2023-03,8,50.0,1.3333333333333333,5.0,40.0,120.0,41.05745103771404,4,4,40.0,-30.0,1.3333333333333333,0,
2023-04,7,57.14285714285714,0.9876543209876543,-0.14285714285714285,-1.0,61.0,25.95141981619099,3,2,20.0,-27.0,0.7407407407407407,0,
2023-05,6,83.33333333333334,5.0,13.333333333333334,80.0,20.0,16.329931618554518,5,1,20.0,-20.0,1.0,0,
2023-06,12,75.0,3.2962962962962963,15.5,186.0,40.0,29.96209726850363,4,1,29.666666666666668,-27.0,1.0987654320987654,0,
2023-07,7,71.42857142857143,2.25,14.285714285714286,100.0,80.0,41.173269183271024,4,2,36.0,-40.0,0.9,0,
2023-08,12,91.66666666666666,6.8,19.333333333333332,232.0,40.0,21.94345350019343,9,1,24.727272727272727,-40.0,0.6181818181818182,0,
2023-09,7,100.0,inf,27.571428571428573,193.0,-20.0,14.842025275740312,7,0,27.571428571428573,,,0,
2023-10,7,100.0,inf,20.0,140.0,-20.0,0.0,7,0,20.0,,,0,
2023-11,1,100.0,inf,30.0,30.0,-30.0,,1,0,30.0,,,0,
2024-03,5,80.0,2.05,8.4,42.0,40.0,27.061042108536768,3,1,20.5,-40.0,0.5125,0,
2024-04,8,62.5,1.475,7.125,57.0,100.0,41.18056927380055,4,2,35.4,-40.0,0.885,0,
2024-05,11,72.72727272727273,3.0,11.636363636363637,128.0,44.0,23.08364237841475,4,2,24.0,-21.333333333333332,1.125,0,
2024-06,8,62.5,2.75,17.5,140.0,40.0,40.620192023179804,4,2,44.0,-26.666666666666668,1.65,0,
2024-07,11,72.72727272727273,2.54320987654321,11.363636363636363,125.0,61.0,27.742648493872128,4,2,25.75,-27.0,0.9537037037037037,0,
2024-08,10,80.0,5.613636363636363,20.3,203.0,24.0,25.84591091664426,5,1,30.875,-22.0,1.4034090909090908,0,
2024-09,6,83.33333333333334,6.4,18.0,108.0,20.0,19.76866206904251,4,1,25.6,-20.0,1.28,0,
2024-10,11,81.81818181818183,4.9,21.272727272727273,234.0,40.0,29.8264678066006,5,1,32.666666666666664,-30.0,1.0888888888888888,0,
2024-11,1,100.0,inf,60.0,60.0,-60.0,,1,0,60.0,,,0,
2025-03,10,50.0,0.7857142857142857,-3.0,-30.0,80.0,29.078437983419185,4,2,22.0,-35.0,0.6285714285714286,0,
2025-04,7,71.42857142857143,4.2,27.428571428571427,192.0,60.0,41.3031764026979,4,2,50.4,-30.0,1.68,0,
2025-05,11,90.9090909090909,12.238095238095237,21.454545454545453,236.0,21.0,18.42478567779629,7,1,25.7,-21.0,1.2238095238095237,0,
2025-06,6,100.0,inf,37.0,222.0,-20.0,16.235762994081924,6,0,37.0,,,0,
2025-07,8,87.5,5.675,23.375,187.0,40.0,29.77504947818847,5,1,32.42857142857143,-40.0,0.8107142857142857,0,
2025-08,5,100.0,inf,31.6,158.0,-20.0,7.829431652425353,5,0,31.6,,,0,
2025-09,10,60.0,1.97,9.7,97.0,60.0,33.226662653825336,2,2,32.833333333333336,-25.0,1.3133333333333335,0,
2025-10,11,81.81818181818183,4.954545454545454,23.727272727272727,261.0,66.0,32.9244313818505,6,2,36.333333333333336,-33.0,1.101010101010101,0,
2026-03,5,100.0,inf,38.4,192.0,-20.0,20.67123605399542,5,0,38.4,,,0,
2026-04,8,50.0,1.188118811881188,2.375,19.0,81.0,32.941235556669696,2,2,30.0,-25.25,1.188118811881188,0,
2026-05,9,77.77777777777779,3.525,22.444444444444443,202.0,40.0,43.758173839612844,4,1,40.285714285714285,-40.0,1.0071428571428571,0,
2026-06,14,85.71428571428571,7.266666666666667,26.857142857142858,376.0,40.0,31.22833314810112,7,1,36.333333333333336,-30.0,1.2111111111111112,0,
2026-07,1,100.0,inf,56.0,56.0,-56.0,,1,0,56.0,,,0,
